Version,Assignee,Created,Created Epoch,Description,Comments
CAMEL-15419,Unassigned,2020-08-16T19:57:57+0000,1597593477， where 1597593477 is the epoch,In camel-website README.md (under Build the website content) we are told to use yarn format command to format the code， but this command is not defined : $ yarn format yarn run v1.22.0 error Command "format" not found. info Visit https://yarnpkg.com/en/docs/cli/run for documentation about this command.,Hide Permalink ASF GitHub Bot added a comment - 16/Aug/20 19:57 ARUNMANNURU opened a new pull request #463: URL: https://github.com/apache/camel-website/pull/463 ---------------------------------------------------------------- This is an automated message from the Apache Git Service. To respond to the message， please log on to GitHub and use the URL above to go to the specific comment. For queries about this service， please contact Infrastructure at: users@infra.apache.org Show ASF GitHub Bot added a comment - 16/Aug/20 19:57 ARUNMANNURU opened a new pull request #463: URL: https://github.com/apache/camel-website/pull/463 ---------------------------------------------------------------- This is an automated message from the Apache Git Service. To respond to the message， please log on to GitHub and use the URL above to go to the specific comment. For queries about this service， please contact Infrastructure at: users@infra.apache.org Hide Permalink ASF GitHub Bot added a comment - 16/Aug/20 20:02 ARUNMANNURU closed pull request #463: URL: https://github.com/apache/camel-website/pull/463 ---------------------------------------------------------------- This is an automated message from the Apache Git Service. To respond to the message， please log on to GitHub and use the URL above to go to the specific comment. For queries about this service， please contact Infrastructure at: users@infra.apache.org Show ASF GitHub Bot added a comment - 16/Aug/20 20:02 ARUNMANNURU closed pull request #463: URL: https://github.com/apache/camel-website/pull/463 ---------------------------------------------------------------- This is an automated message from the Apache Git Service. To respond to the message， please log on to GitHub and use the URL above to go to the specific comment. For queries about this service， please contact Infrastructure at: users@infra.apache.org Hide Permalink Zoran Regvart added a comment - 17/Aug/20 22:40 I see， thanks for raising this issue. yarn format script is supported only on the Antora UI theme， to invoke it one must be in the antora-ui-camel directory. Show Zoran Regvart added a comment - 17/Aug/20 22:40 I see， thanks for raising this issue. yarn format script is supported only on the Antora UI theme， to invoke it one must be in the antora-ui-camel directory. Hide Permalink ASF GitHub Bot added a comment - 21/Aug/20 18:32 amdmdi opened a new pull request #470: URL: https://github.com/apache/camel-website/pull/470 "yarn format" is supported only in antora-ui-camel dir As per Zoran's suggestion in JIRA: "yarn format script is supported only on the Antora UI theme， to invoke it one must be in the antora-ui-camel directory." ---------------------------------------------------------------- This is an automated message from the Apache Git Service. To respond to the message， please log on to GitHub and use the URL above to go to the specific comment. For queries about this service， please contact Infrastructure at: users@infra.apache.org Show ASF GitHub Bot added a comment - 21/Aug/20 18:32 amdmdi opened a new pull request #470: URL: https://github.com/apache/camel-website/pull/470 "yarn format" is supported only in antora-ui-camel dir As per Zoran's suggestion in JIRA: "yarn format script is supported only on the Antora UI theme， to invoke it one must be in the antora-ui-camel directory." ---------------------------------------------------------------- This is an automated message from the Apache Git Service. To respond to the message， please log on to GitHub and use the URL above to go to the specific comment. For queries about this service， please contact Infrastructure at: users@infra.apache.org Hide Permalink ASF GitHub Bot added a comment - 22/Aug/20 17:59 zregvart commented on pull request #470: URL: https://github.com/apache/camel-website/pull/470#issuecomment-678672117 Thanks! ---------------------------------------------------------------- This is an automated message from the Apache Git Service. To respond to the message， please log on to GitHub and use the URL above to go to the specific comment. For queries about this service， please contact Infrastructure at: users@infra.apache.org Show ASF GitHub Bot added a comment - 22/Aug/20 17:59 zregvart commented on pull request #470: URL: https://github.com/apache/camel-website/pull/470#issuecomment-678672117 Thanks! ---------------------------------------------------------------- This is an automated message from the Apache Git Service. To respond to the message， please log on to GitHub and use the URL above to go to the specific comment. For queries about this service， please contact Infrastructure at: users@infra.apache.org Hide Permalink ASF GitHub Bot added a comment - 22/Aug/20 17:59 zregvart merged pull request #470: URL: https://github.com/apache/camel-website/pull/470 ---------------------------------------------------------------- This is an automated message from the Apache Git Service. To respond to the message， please log on to GitHub and use the URL above to go to the specific comment. For queries about this service， please contact Infrastructure at: users@infra.apache.org Show ASF GitHub Bot added a comment - 22/Aug/20 17:59 zregvart merged pull request #470: URL: https://github.com/apache/camel-website/pull/470 ---------------------------------------------------------------- This is an automated message from the Apache Git Service. To respond to the message， please log on to GitHub and use the URL above to go to the specific comment. For queries about this service， please contact Infrastructure at: users@infra.apache.org
CAMEL-15418,Claus Ibsen,2020-08-15T10:32:30.052Z,1597473150.052， where 1597473150.052 is the epoch,In Swagger Java Library， custom converter can be provided to enrich the Swagger Definition. It can be achieved by extending io.swagger.converter.ModelConverter in the custom converter then， the custom converter will be loaded by the io.swagger.converter.ModelConverters using the Service Loading Mechanism. Note: The loaded custom converters are available only in ModelConverters.getInstance().In camel-swagger-java， the above customisation is not possible because org.apache.camel.swagger.RestModelConverters is derived from io.swagger.converter.ModelConverters and invokes the base class methods. So， the org.apache.camel.swagger.RestModelConverters is unaware of the custom converter and the enrichment is not possible.,Hide Permalink Claus Ibsen added a comment - 24/Aug/20 14:00 Thanks for reporting and the patch. Show Claus Ibsen added a comment - 24/Aug/20 14:00 Thanks for reporting and the patch.
CAMEL-15417,Unassigned,2020-08-14T11:18:52+0000,1597389532， where 1597389532 is the epoch,Add optional fileName property， that so user can assign different name on every new copy of the document. For example:original name picture.jpgnew name Copy of picture.jpg. Some repositories (for example alfresco) allows only documents with unique name to be copied in one directory.,There are no comments yet on this issue.
CAMEL-15416,Unassigned,2020-08-14T08:32:41+0000,1597379561， where 1597379561 is the epoch,Spring Boot， Quarkus and Karaf etc may need a bit time to be ready for Kafka 2.6.x,There are no comments yet on this issue.
CAMEL-15415,Claus Ibsen,2020-08-14T06:28:38+0000,1597372118， where 1597372118 is the epoch,Also upgrade the LTS branch,There are no comments yet on this issue.
CAMEL-15414,Unassigned,2020-08-29T12:17:34+0000,1598689054， where 1598689054 is the epoch,Are there any new options we need to add to camel-kafka also?,Hide Permalink Claus Ibsen added a comment - 29/Aug/20 12:17 There is a new for a SMX bundle 2.5.1 release， there is only 2.5.0 Show Claus Ibsen added a comment - 29/Aug/20 12:17 There is a new for a SMX bundle 2.5.1 release， there is only 2.5.0
CAMEL-15413,Claus Ibsen,2020-08-26T08:32:46+0000,1598416366， where 1598416366 is the epoch,Lets consider renaming this new class. Also rename the documentation， and in camel-quarkus， and camel-spring-boot as well.,Hide Permalink Claus Ibsen added a comment - 26/Aug/20 08:32 Need to rename example and in camel-quarkus Show Claus Ibsen added a comment - 26/Aug/20 08:32 Need to rename example and in camel-quarkus Hide Permalink Claus Ibsen added a comment - 26/Aug/20 08:47 - edited examples DONE quarkus (https://github.com/apache/camel-quarkus/pull/1610) DONE remove deprecate API (when quarkus PR merged) DONE Show Claus Ibsen added a comment - 26/Aug/20 08:47 - edited examples DONE quarkus ( https://github.com/apache/camel-quarkus/pull/1610 ) DONE remove deprecate API (when quarkus PR merged) DONE
CAMEL-15412,Unassigned,2020-08-14T20:00:50+0000,1597420850， where 1597420850 is the epoch,I want to download a file from Box and the setHeader doesn't accept objects when setting the header. The required output parameter is a OutputStream. The integration tests use the component directly as opposed to the URLs or setHeader methods. I would have expected the outputstream payload to be in the Message coming out of the endpoint. The REST component documentation looks more like what I was expecting.My variation of the example from the docs that doesn't work:from("timer:test?period=3600") .setHeader("CamelBox.fileId"， constant("12345678") .setHeader("CamelBox.output"， new ByteArrayOutputStream()) .to("box://files/download") .to("file://out");Using Camel thinking， I tried this code first but I understand if this component wants to be special with its headers and stuff.from("timer:test?period=3600") .to("box://files/download?fileId=123456789") .to("file://out"); Again， please let me know what I can do to help.,Hide Permalink Michael Genereux added a comment - 14/Aug/20 20:00 Here's the workaround. I hope it's right. object BoxRouteBuilder extends RouteBuilder() { override def configure(): Unit = { from(timer("box_start") .process(new Processor { override def process(exchange: Exchange): Unit = { val message = exchange.getMessage() message .setHeader("CamelBox.fileId"， "12345678") exchange.getMessage() .setHeader("CamelBox.output"， stream) } }) .to("box:files/download") .to(kafka("box_file_list") } } Show Michael Genereux added a comment - 14/Aug/20 20:00 Here's the workaround. I hope it's right. object BoxRouteBuilder extends RouteBuilder() { override def configure(): Unit = { from(timer( "box_start" ) .process( new Processor { override def process(exchange: Exchange): Unit = { val message = exchange.getMessage() message .setHeader( "CamelBox.fileId" ， "12345678" ) exchange.getMessage() .setHeader( "CamelBox.output" ， stream) } }) .to( "box:files/download" ) .to(kafka( "box_file_list" ) } }
CAMEL-15411,Unassigned,2020-08-14T03:44:54+0000,1597362294， where 1597362294 is the epoch,Add a small example for the new camel-oaipmh component,There are no comments yet on this issue.
CAMEL-15410,Unassigned,2020-08-13T16:25:36+0000,1597321536， where 1597321536 is the epoch,When passing query parameters to a REST producer the encoding behavior is inconsistent. Consider the following:.to("rest:get:bw-web-api/v1/objects/employees?host=agresso&companyId=RD&select=personId，personName&disconnect=true")The resulting request payload， as observed with Wireshark， is:GET /bw-web-api/v1/objects/employees?companyId=RD&disconnect=true&select=personId%252CpersonName HTTP/1.1\r\nNote that the comma has been double-encoded resulting in transmission of %252C instead of the expected %2C.If instead the problem string is passed as a parameter via a header， the comma is correctly encoded:.setHeader("select"， simple("personId，personName")).to("rest:get:bw-web-api/v1/objects/employees?host=agresso&companyId=RD&select={select}&disconnect=true"),Hide Permalink Kris Boutilier added a comment - 13/Aug/20 16:25 - edited It's not immediately clear if it's related to the above， but I'm also having issues with + vs %20 encoding of spaces when passed in via headers and， because the target server is pedantic， requests that use application/x-www-form-urlencoded style encoding are failing. For example， this: .setHeader("filter"， simple("date(time/date) ge 2020-06-01 and personId eq 'R10019'")) .to("rest:get:bw-web-api/v1/objects/timesheets?host=agresso&companyId=RD&select={select}&filter={filter}&onWorkFlow=true&noWorkflow=true") results in a payload of: GET /bw-web-api/v1/objects/timesheets?companyId=RD&filter=date%28time%2Fdate%29+ge+2020-06-01+and+personId+eq+%27R10019%27&noWorkflow=true&onWorkFlow=true&select=personId%2Cperiod%2Ctime%28*%29 HTTP/1.1\r\n however the server is expecting to see this encoding: GET /bw-web-api/v1/objects/timesheets?companyId=RD&filter=date%28time%2Fdate%29%20ge%202020-06-01%20and%20personId%20eq%20%27R10019%27&onWorkflow=true&noWorkflow=true&select=personId%2Cperiod%2Ctime%28*%29 HTTP/1.1\r\n Show Kris Boutilier added a comment - 13/Aug/20 16:25 - edited It's not immediately clear if it's related to the above， but I'm also having issues with + vs %20 encoding of spaces when passed in via headers and， because the target server is pedantic， requests that use application/x-www-form-urlencoded style encoding are failing. For example， this: .setHeader( "filter" ， simple( "date(time/date) ge 2020-06-01 and personId eq 'R10019' " )) .to( " rest :get:bw-web-api/v1/objects/timesheets?host=agresso&companyId=RD&select={select}&filter={filter}&onWorkFlow= true &noWorkflow= true " ) results in a payload of: GET /bw-web-api/v1/objects/timesheets?companyId=RD&filter=date%28time%2Fdate%29+ge+2020-06-01+and+personId+eq+%27R10019%27&noWorkflow= true &onWorkFlow= true &select=personId%2Cperiod%2Ctime%28*%29 HTTP/1.1\r\n however the server is expecting to see this encoding: GET /bw-web-api/v1/objects/timesheets?companyId=RD&filter=date%28time%2Fdate%29%20ge%202020-06-01%20and%20personId%20eq%20%27R10019%27&onWorkflow= true &noWorkflow= true &select=personId%2Cperiod%2Ctime%28*%29 HTTP/1.1\r\n
CAMEL-15409,Zineb BENDHIBA,2020-08-13T15:04:11+0000,1597316651， where 1597316651 is the epoch,Add the possibility to have operations on graphs in the camel-arangodb component,There are no comments yet on this issue.
CAMEL-15408,Unassigned,2020-08-13T12:48:18+0000,1597308498， where 1597308498 is the epoch,,There are no comments yet on this issue.
CAMEL-15407,Christoph Deppisch,2020-08-13T12:49:18+0000,1597308558， where 1597308558 is the epoch,The merge operation in OData V2 can be used to update individual fields on an entity. The operation should perform an incremental update without replacing all the contents of an entry. In particular the request updates only the properties indicated in the request body， and leaves untouched any other property not mentioned in its current state.When the camel-olingo2 component performs the merge operation all fields are updated - also the not mentioned properties. Those fields not mentioned in the request body are set to null by default.This behavior is controlled by the EntityProvider write property called "isDataBasedPropertySerialization". By default this setting is set to false resulting in non present fields to be set to null by default. For merge operations this setting should be enabled by default in order to just update the mentioned fields in the request body.,Hide Permalink Claus Ibsen added a comment - 13/Aug/20 12:49 Are you working on a PR Show Claus Ibsen added a comment - 13/Aug/20 12:49 Are you working on a PR Hide Permalink Christoph Deppisch added a comment - 18/Aug/20 11:22 Claus Ibsen yes you can assign to me if you want Show Christoph Deppisch added a comment - 18/Aug/20 11:22 Claus Ibsen yes you can assign to me if you want
CAMEL-15406,Christoph Deppisch,2020-08-13T11:16:43+0000,1597303003， where 1597303003 is the epoch,Create and update operations on the camel-olingo2 component use EntityProvider with EntityProviderWriteProperties in order to construct the content data in different data formats (Json， Atom， XML)At the moment these write properties are not configurable by the user. The Camel component just uses the default settings.With this default settings in place the Camel component always adds OData metadata to requests by default. This leads to errors when the target OData service (e.g. https://services.odata.org/V2/OData/OData.svc/) does not support metadata being added to the request.The EntityProviderWriteProperties has options to enable "contentOnly" settings for these kind of OData services. Users need to be able to set these write properties on the endpoint configuration.,There are no comments yet on this issue.
CAMEL-15405,Christoph Deppisch,2020-08-13T08:36:19+0000,1597293379， where 1597293379 is the epoch,Users can query the result count as part of a search result meta data when reading entity sets from OData services (see section 4.9. Inlinecount System Query Option ($inlinecount) in https://www.odata.org/documentation/odata-version-2-0/uri-conventions/).When splitResults is enabled on the component this inline result count is not propagated to the split exchange.We should manually add the inline count in the same way as camel-olingo4 component is doing by adding a ResultCount property on the OData entry.,Hide Permalink Christoph Deppisch added a comment - 13/Aug/20 08:36 The inline count is set on the ODataFeed metadata. When split is enabled the feed gets split into its individual OData entries which becomes the new exchange body. Show Christoph Deppisch added a comment - 13/Aug/20 08:36 The inline count is set on the ODataFeed metadata. When split is enabled the feed gets split into its individual OData entries which becomes the new exchange body.
CAMEL-15404,Claus Ibsen,2020-08-13T16:48:00+0000,1597322880， where 1597322880 is the epoch,Looking in https://github.com/apache/camel/blob/master/components/camel-box/camel-box-component/src/generated/resources/org/apache/camel/component/box/box.json， none of the URI options for the different box API methods are available to the Endpoint DSL generator. I don't know if there's an "escape valve" to allow me to apply non-typesafe options if the typesafe one is not available. Maybe it's a bug if the options are just not there.Here's the endpoint I expected to write:object BoxRouteBuilder extends RouteBuilder() { override def configure(): Unit = { from(timer("box_start").repeatCount(1)) .to(box("folders/getFolderItems").folderId("12345678") .to(kafka("box_file_list") }}but instead I had to write this working code:object BoxRouteBuilder extends RouteBuilder() { override def configure(): Unit = { from(timer("box_start").repeatCount(1)) .to("box:folders/getFolderItems?folderId=12345678") .to(kafka("box_file_list") }},Hide Permalink Michael Genereux added a comment - 13/Aug/20 16:48 Claus Ibsen is this a softball issue? I'm new to Camel but can I help? Show Michael Genereux added a comment - 13/Aug/20 16:48 Claus Ibsen is this a softball issue? I'm new to Camel but can I help? Hide Permalink Claus Ibsen added a comment - 26/Aug/20 12:21 Michael thanks for the offer， unfortunately its a bit more complex as it involves source code generation and whatnot Show Claus Ibsen added a comment - 26/Aug/20 12:21 Michael thanks for the offer， unfortunately its a bit more complex as it involves source code generation and whatnot Hide Permalink Claus Ibsen added a comment - 26/Aug/20 12:22 This may also apply for some of the other api components with extended configuration classes Show Claus Ibsen added a comment - 26/Aug/20 12:22 This may also apply for some of the other api components with extended configuration classes
CAMEL-15403,Freeman Yue Fang,2020-08-12T16:31:04+0000,1597235464， where 1597235464 is the epoch,It's caused by a newline "\n" isn't expected in the test payload for JDK 1.8_261.I noticed that we've already had code likeif (TestSupport.getJavaMajorVersion() >= 9) { includeNewLine = false; }to determine need this newline or not. And I believe the lastest JDK8(Oracle JDK8 261) surely take the same logic as JDK9+ now.We need also check the 1.8 minor version,There are no comments yet on this issue.
CAMEL-15402,Unassigned,2020-08-12T12:45:52+0000,1597221952， where 1597221952 is the epoch,Having written a couple of tests for pieces of routes within a Camel application， I have noticed that testing routes defined by components annotated with @Consume("direct:xyz") work quite well， but components that extend the class org.apache.camel.builder.RouteBuilder suffer from the following issue.The component scanning by Spring encounters these components fine. If they are autowired in the test， then those fields have a value as expected. But when the test route has to invoke it， then delivery fails throwing a DirectConsumerNotAvailableException.The work-around is to invoke camelContext.addRoutes(autowiredInstance) in the test， which should not be necessary and clutters up the test code.Demonstration of the issue: https://github.com/BertKoor/camelCase/blob/master/src/test/java/nl/ordina/bertkoor/camelcase/service/CamelHealthServiceClientTest.java,There are no comments yet on this issue.
CAMEL-15401,Unassigned,2020-08-12T12:26:03+0000,1597220763， where 1597220763 is the epoch,When searching online for strategies to test a fragment of a Camel route with JUnit5 in the context of a Spring Boot application， the returned documentation seems somewhat outdated (favouring xml instead of java config for both Spring and Camel related aspects) and missing a major point.Some top google hits for "apache camel test spring boot" are: https://camel.apache.org/manual/latest/testing.html One (at least me) gets drawn to the "Spring Test With Java Config" example. When rebuilding from that example in a SpringBoot app， it won't ever work because the ProducerTemplate and MockEndpoint instances remain null. I happened to have an old working example of a project built with Camel v2.20 which had the annotation @ContextConfiguration(loader = CamelSpringDelegatingTestContextLoader.class). Adding that (and a dependency on camel-test-spring on top of camel-test-spring-junit5) made the injections work but caused an NPE at org.apache.camel.test.spring.CamelAnnotationsHandler.handleDisableJmx(CamelAnnotationsHandler.java:90) which gets fixed by adding a static method that sets a dummy test class in CamelSpringTestHelper. After asking for assistance on gitter it was suggested to try to annotate the test class with @CamelSpring*Boot*Test instead of @CamelSpringTest as the example showed. As always with annotations: that "magically" solved all issues. There was no way I could have known it existed. https://camel.apache.org/manual/latest/spring-testing.html Using CamelSpringTestSupport and rolling your own implementation of an AbstractApplicationContext does not sound very attractive. The list of examples goes further with "Plain Spring tests" but only supported by JUnit4. It is uncertain whether this has any chance to work with JUnit5. https://camel.apache.org/components/latest/others/test-spring.html As already stated on the page: old and needs updating. Won't comment further. This looks like the original example I built my Camel v2.20 project with， using the CamelSpringDelegatingTestContextLoader https://camel.apache.org/components/latest/others/test-spring-junit5.html It first suggests to extend CamelSpringTestSupport， but writing only my test config in xml does not sound appealing. Next comes an example again using @CamelSpringTest which has identical issues as brought up in my first bullet.,There are no comments yet on this issue.
CAMEL-15400,Claus Ibsen,2020-08-12T11:40:22+0000,1597218022， where 1597218022 is the epoch,Reported on user forumhttp://camel.465427.n5.nabble.com/Camel-Rest-Endpoint-DSL-prefix-the-string-quot-null-quot-to-query-parameters-key-td5878225.html,Hide Permalink Claus Ibsen added a comment - 12/Aug/20 11:40 src/generated/java/org/apache/camel/builder/endpoint/dsl/CryptoCmsEndpointBuilderFactory.java: doSetMultiValueProperty("recipient"， "null" + key， value); src/generated/java/org/apache/camel/builder/endpoint/dsl/JpaEndpointBuilderFactory.java: doSetMultiValueProperty("parameters"， "null" + key， value); src/generated/java/org/apache/camel/builder/endpoint/dsl/RestEndpointBuilderFactory.java: doSetMultiValueProperty("queryParameters"， "null" + key， value); Show Claus Ibsen added a comment - 12/Aug/20 11:40 src/generated/java/org/apache/camel/builder/endpoint/dsl/CryptoCmsEndpointBuilderFactory.java: doSetMultiValueProperty("recipient"， "null" + key， value); src/generated/java/org/apache/camel/builder/endpoint/dsl/JpaEndpointBuilderFactory.java: doSetMultiValueProperty("parameters"， "null" + key， value); src/generated/java/org/apache/camel/builder/endpoint/dsl/RestEndpointBuilderFactory.java: doSetMultiValueProperty("queryParameters"， "null" + key， value); Hide Permalink Claus Ibsen added a comment - 12/Aug/20 12:02 Fixed for rest， jpa and crypto-cms Show Claus Ibsen added a comment - 12/Aug/20 12:02 Fixed for rest， jpa and crypto-cms
CAMEL-15399,Unassigned,2020-08-12T10:37:44+0000,1597214264， where 1597214264 is the epoch,,Hide Permalink Luca Burgazzoli added a comment - 12/Aug/20 10:37 Duplicated of CAMEL-15398 Show Luca Burgazzoli added a comment - 12/Aug/20 10:37 Duplicated of CAMEL-15398
CAMEL-15398,Claus Ibsen,2020-08-12T10:36:22+0000,1597214182， where 1597214182 is the epoch,To move the properties binding bits (PropertyBindingSupport.java) from the main.adoc into its own doc and expand on that. And link to it from the main.adoc file.,There are no comments yet on this issue.
CAMEL-15397,Luca Burgazzoli,2020-08-12T08:31:45+0000,1597206705， where 1597206705 is the epoch,In addition to support automatig binding for list and maps we should support arrays,There are no comments yet on this issue.
CAMEL-15396,Luca Burgazzoli,2020-08-12T08:29:25+0000,1597206565， where 1597206565 is the epoch,Assuming we have a set of properties like:camel.k.sources[0] = #class:SourceDefinitioncamel.k.sources[0].name = timercamel.k.sources[0].language = yamlcamel.k.sources[3] = #class:SourceDefinitioncamel.k.sources[3].name = testcamel.k.sources[3].language = xmlThen binding to a target class with a code like:PropertyBindingSupport.build() .withCamelContext(context) .withTarget(conf) .withProperties(properties) .withRemoveParameters(false) .withOptionPrefix("camel.k.") .withConfigurer(configurer) .bind()Would fail for index out of bound.,There are no comments yet on this issue.
CAMEL-15395,Andrea Cosentino,2020-08-12T06:25:34.687Z,1597199134.687， where 1597199134.687 is the epoch,It gives ResolveEndpointFailedException while creating camel AWS-SQS endpoint with URL.For example， below producer or consumer endpoint is not being created.uri="https://sqs.us-east-1.amazonaws.com/104966627370/test-comms-filebroker-mvan"And it throws error as follows.Caused by: org.apache.camel.ResolveEndpointFailedException: Failed to resolve endpoint: aws-sqs://test-comms-filebroker-s3?amazonSQSClient=%23client&concurrentConsumers=5&deleteAfterRead=false&maxMessagesPerPoll=1&queueOwnerAWSAccountId=056684691971&region=us-east-1 due to: No enum constant com.amazonaws.regions.Regions.us-east-1 at org.apache.camel.impl.DefaultCamelContext.getEndpoint(DefaultCamelContext.java:752) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.util.CamelContextHelper.getMandatoryEndpoint(CamelContextHelper.java:80) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.model.RouteDefinition.resolveEndpoint(RouteDefinition.java:227) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.impl.DefaultRouteContext.resolveEndpoint(DefaultRouteContext.java:116) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.impl.DefaultRouteContext.resolveEndpoint(DefaultRouteContext.java:122) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.model.FromDefinition.resolveEndpoint(FromDefinition.java:75) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.impl.DefaultRouteContext.getEndpoint(DefaultRouteContext.java:98) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.model.RouteDefinition.addRoutes(RouteDefinition.java:1332) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.model.RouteDefinition.addRoutes(RouteDefinition.java:212) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] ... 16 moreCaused by: java.lang.IllegalArgumentException: No enum constant com.amazonaws.regions.Regions.us-east-1 at java.lang.Enum.valueOf(Enum.java:238) ~[?:1.8.0_265] at com.amazonaws.regions.Regions.valueOf(Regions.java:25) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.component.aws.sqs.SqsEndpoint.doStart(SqsEndpoint.java:132) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.support.ServiceSupport.start(ServiceSupport.java:72) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.util.ServiceHelper.startService(ServiceHelper.java:75) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.impl.DefaultCamelContext.deferStartService(DefaultCamelContext.java:1554) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.impl.DefaultCamelContext.doAddService(DefaultCamelContext.java:1471) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.impl.DefaultCamelContext.addService(DefaultCamelContext.java:1441) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.impl.DefaultCamelContext.addService(DefaultCamelContext.java:1437) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.impl.DefaultCamelContext.getEndpoint(DefaultCamelContext.java:748) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.util.CamelContextHelper.getMandatoryEndpoint(CamelContextHelper.java:80) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.model.RouteDefinition.resolveEndpoint(RouteDefinition.java:227) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.impl.DefaultRouteContext.resolveEndpoint(DefaultRouteContext.java:116) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.impl.DefaultRouteContext.resolveEndpoint(DefaultRouteContext.java:122) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.model.FromDefinition.resolveEndpoint(FromDefinition.java:75) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.impl.DefaultRouteContext.getEndpoint(DefaultRouteContext.java:98) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.model.RouteDefinition.addRoutes(RouteDefinition.java:1332) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT] at org.apache.camel.model.RouteDefinition.addRoutes(RouteDefinition.java:212) ~[filebroker-jar-with-dependencies.jar:2.15.38-SNAPHOT],Hide Permalink Andrea Cosentino added a comment - 11/Aug/20 20:29 If you are specifying the region as URI param it must be US_EAST_1 Show Andrea Cosentino added a comment - 11/Aug/20 20:29 If you are specifying the region as URI param it must be US_EAST_1 Hide Permalink Andrea Cosentino added a comment - 11/Aug/20 20:34 The us-east-1 approach works with aws2 Show Andrea Cosentino added a comment - 11/Aug/20 20:34 The us-east-1 approach works with aws2 Hide Permalink Andrea Cosentino added a comment - 12/Aug/20 07:41 Can you please share your route? How are you specifying your route? Through Arn or are you specifying the region explicitly? Show Andrea Cosentino added a comment - 12/Aug/20 07:41 Can you please share your route? How are you specifying your route? Through Arn or are you specifying the region explicitly? Hide Permalink Nikolay Blindov added a comment - 12/Aug/20 08:23 - edited Andrea Cosentino I'm sorry， looks like that related to custom code and no need any camel changes. Thank you. Show Nikolay Blindov added a comment - 12/Aug/20 08:23 - edited Andrea Cosentino I'm sorry， looks like that related to custom code and no need any camel changes. Thank you.
